sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0116,filter,L_Malic_Acid,met,133.014,732,521750,709.77,732.24
RCY308_control-r002,control,L_Malic_Acid,met,133.014,732,3418381,707.69,730.16
MLMET0074,sample,L_Malic_Acid,met,133.014,732,20144469,707.45,729.91
MLMET0168,sample,L_Malic_Acid,met,133.014,732,12041455,710.01,732.48
MLMET0166,sample,L_Malic_Acid,met,133.014,732,159493,709.99,732.46
MLMET0121,sample,L_Malic_Acid,ref,137.028,732,3612788,706.83,729.29
MLMET0144,filter,L_Malic_Acid,ref,137.028,732,649097,706.63,729.09
MLMET0091,sample,L_Malic_Acid,ref,137.028,732,4909144,708.44,730.91
MLMET0143,sample,L_Malic_Acid,ref,137.028,732,1004184,708.66,731.12
MLMET0183,sample,L_Malic_Acid,ref,137.028,732,1549291,707.71,730.18
MLMET0090,filter,L_Malic_Acid,ref,137.028,732,2992416,707.39,729.86
MLMET0125,filter,L_Malic_Acid,ref,137.028,732,899717,708.4,730.87
all_ss-r002,stds,L_Malic_Acid,ref,137.028,732,23029,708.77,731.23
MLMET0124,sample,L_Malic_Acid,ref,137.028,732,1875645,706.93,729.39
Blank-r001,blank,L_Malic_Acid,ref,137.028,732,29801,706.88,729.35
MLMET0122,sample,L_Malic_Acid,ref,137.028,732,2562710,709.04,731.5
MLMET0180,sample,L_Malic_Acid,ref,137.028,732,1293661,709.08,731.55
MLMET0182,sample,L_Malic_Acid,ref,137.028,732,1056650,707.68,730.14
MLMET0159,filter,L_Malic_Acid,ref,137.028,732,1100148,707.84,730.3
MLMET0135,filter,L_Malic_Acid,ref,137.028,732,1012429,709.32,731.79
MLMET0094,sample,L_Malic_Acid,ref,137.028,732,4678790,709.27,731.74
MLMET0162,sample,L_Malic_Acid,ref,137.028,732,1052709,706.88,729.34
MLMET0181,sample,L_Malic_Acid,ref,137.028,732,1179861,707.08,729.54
MLMET0161,sample,L_Malic_Acid,ref,137.028,732,1270659,709.55,732.02
MLMET0136,sample,L_Malic_Acid,ref,137.028,732,1288199,709.54,732
MLMET0123,sample,L_Malic_Acid,ref,137.028,732,1947335,706.53,729
MLMET0089,filter,L_Malic_Acid,ref,137.028,732,2167176,706.38,728.84
MLMET0142,sample,L_Malic_Acid,ref,137.028,732,965529,709.96,732.43
MLMET0067,filter,L_Malic_Acid,ref,137.028,732,2985455,710.27,732.74
MLMET0093,sample,L_Malic_Acid,ref,137.028,732,3651208,707.42,729.88
MLMET0066,filter,L_Malic_Acid,ref,137.028,732,1053920,707.54,730.01
MLMET0092,sample,L_Malic_Acid,ref,137.028,732,4723993,709.58,732.05
MLMET0160,sample,L_Malic_Acid,ref,137.028,732,1256712,709.84,732.3
MLMET0163,sample,L_Malic_Acid,ref,137.028,732,1235825,707.06,729.53
MLMET0068,sample,L_Malic_Acid,ref,137.028,732,4288762,706.95,729.42
MLMET0185,sample,L_Malic_Acid,ref,137.028,732,1412685,709.78,732.24
all_ss-r001,stds,L_Malic_Acid,ref,137.028,732,21727,709.67,732.13
MLMET0119,sample,L_Malic_Acid,ref,137.028,732,2755502,707.37,729.84
MLMET0120,sample,L_Malic_Acid,ref,137.028,732,3082021,707.49,729.95
MLMET0118,sample,L_Malic_Acid,ref,137.028,732,4108107,710.49,732.96
MLMET0096,sample,L_Malic_Acid,ref,137.028,732,5352363,710.66,733.13
RCY308_control-r001,control,L_Malic_Acid,ref,137.028,732,22190,706.67,729.13
MLMET0139,sample,L_Malic_Acid,ref,137.028,732,906902,706.61,729.07
MLMET0137,sample,L_Malic_Acid,ref,137.028,732,1039548,710.44,732.91
MLMET0164,sample,L_Malic_Acid,ref,137.028,732,1379033,710.82,733.29
